chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.27327403,0.090330355,0.13420172,0.0011893897,1498.3146082259873,174944.12969082416,1858.4036671974588,171286.83001414736,2836.754816228693,1379109.8932376946,0.05551979758522727,0.0002830849945052596,2.7684731e-05,0.014524419,-1.3980484e-05,0.0016911669,172.265625,-133.8394,1339.6792,136.94069,806.9518,-15.288025,255.81226,16.111483,110.95139,-0.96476537,56.928562,6.5502424,30.562098,-18.190449,105.48845,-0.017994154,120.87166,-11.858008,67.95139,-0.63882196,63.742542,5.875784,59.66001,1.1582034,16.968132,-7.096706,29.308016,-1.503065,32.189247,4.3552694,21.197596,-3.6102774,23.50999,-4.106684,83.52589,-11.567622,24.964533,1.8335308,20.041824,-0.24084169,20.485826
0.37925023,0.080965474,0.101108864,0.0017614844,1621.0255678261217,376326.6109988922,2083.376312153954,319157.27126878157,3443.844327059659,2675340.4276910396,0.0555419921875,0.0005407888780940663,2.8668146e-05,0.005027863,-3.9092356e-05,0.00488996,107.666015625,-152.03212,2992.0952,133.26483,1110.8079,2.9332473,254.52115,14.879492,109.92153,-10.401225,450.39822,-4.103247,187.37389,-3.3581877,47.26268,2.5138009,86.18467,-4.487317,35.15109,-3.0968447,42.589195,-4.653848,65.1098,-1.1708957,17.00003,-6.2520647,15.162452,2.5723124,39.96906,-0.22747153,44.115116,-6.5463414,43.67951,-7.2410183,12.607263,-4.1342044,18.814877,-0.32785228,24.021666,-0.9695849,20.360138
0.30524722,0.09213313,0.11883898,0.0020587733,2152.4648783011357,942416.0037772286,2308.5639239860106,397626.7952695426,4477.438077059659,4703587.579661905,0.08150967684659091,0.0016179452996608638,1.2843421e-05,0.011422075,5.3505668e-05,0.0015104711,123.046875,-126.77001,706.62036,105.31062,1368.1691,-1.4698437,682.42896,22.482237,154.38287,-3.7347143,200.44733,3.4947104,42.071598,-11.252082,156.3572,-3.3734396,46.05546,-6.7568893,51.018406,2.4616892,95.8792,-4.8321314,87.47922,-1.6875612,27.405468,-10.798189,65.25363,-3.0638754,28.765928,0.3889343,17.79301,-3.1572745,19.644064,-3.4329102,51.583145,-4.3449845,22.69537,1.0897957,18.533514,1.0267123,18.096758
0.32992825,0.08463224,0.08888545,0.0012549247,1740.371893708683,387828.99950505694,2189.142827940216,266787.0229333239,3764.150723544034,2681334.6621994516,0.05662952769886364,0.000848396134770606,-4.659784e-05,0.006104151,-1.5781059e-06,0.0014718013,172.265625,-160.58144,2187.2896,119.38494,871.81134,0.09112468,163.96051,26.917004,70.40842,-1.2641841,154.5158,1.5040935,41.588875,-9.799293,55.6795,-7.5075374,35.351334,-5.1394978,51.94311,-6.4035945,75.347305,-3.3790588,50.410328,2.357372,38.14589,-6.668426,21.376099,0.48357487,21.250761,2.763689,25.615364,-4.1941886,17.411018,-3.4065835,24.892859,-7.4912553,26.34367,-3.3406844,17.813278,-0.2838947,26.963978
0.32238296,0.08535639,0.13110305,0.0012810054,1465.4691662371088,157779.91756727,1830.0144809111503,198200.82586698906,2881.7787863991475,1399609.0004916403,0.06414240056818182,0.00019910217316682676,4.2689942e-05,0.012524939,1.8862873e-05,0.0030187895,172.265625,-131.53429,1619.6207,141.7899,650.3937,-13.413828,287.04974,15.609576,49.205685,-11.730422,110.34618,-3.3672044,74.5195,-4.623585,85.63076,6.157554,135.37102,-10.73668,43.49486,-4.9390965,52.18705,2.5917437,52.964928,-0.62368894,28.020735,-4.9299645,124.75266,-1.0797724,64.39084,-4.0237927,26.759514,-7.2243347,41.255787,-2.4094334,30.612886,-11.689668,40.778225,-0.86295086,18.7068,3.1548986,35.268192
0.3054119,0.09389383,0.111204274,0.0025118978,1809.5627902500435,657941.1865319097,2111.7175373859427,418689.992115104,3794.7376598011365,4320972.784607371,0.07540616122159091,0.0014560590844509029,-3.8971142e-05,0.01062643,-5.148861e-05,0.0012290461,172.265625,-149.20634,1589.679,122.82322,1545.9597,-1.7719539,363.15833,18.748213,97.830666,-6.5423384,66.17394,6.146152,111.088234,-7.7744827,69.70093,-1.3507372,88.11884,-9.583727,41.46382,-8.028281,67.97773,-2.8203979,87.72072,3.0826037,48.874317,1.4171859,83.5095,1.984129,24.249907,-0.840905,22.405205,-2.9319003,51.82844,-4.2756977,70.25449,-10.973972,51.952084,-2.7413347,16.312288,0.90365237,19.751116
0.3347202,0.08714945,0.1112068,0.0017617763,1395.717863066864,181465.79829653047,1887.869178000577,214565.65238568067,2831.860906427557,1438587.2422155638,0.053300337357954544,0.00032420530299509846,-2.5130556e-05,0.0064223413,-2.0207972e-05,0.0036032207,172.265625,-152.56769,1961.0903,144.44025,743.8489,-1.3062363,215.82817,19.061935,167.37839,-3.9510138,129.13274,-0.5865541,39.564533,-4.7188206,28.123041,1.354882,91.45149,-11.398597,69.71026,-6.832739,27.12445,-1.4087869,110.53386,5.033913,73.719086,-1.4615365,44.91035,-5.4068904,73.40472,-3.786685,47.761612,-0.8977354,40.651512,-2.72024,24.553045,-7.8731313,23.58532,-2.0429866,26.776289,0.046619937,30.928621
0.34167212,0.0879755,0.10967597,0.0010152216,1593.0243957759742,483914.4249445613,2066.945182592902,386834.6237601488,3494.4962935014205,3519003.053399588,0.05419921875,0.0005868348208340732,4.4003213e-05,0.0070953364,9.832356e-05,0.0023778982,172.265625,-150.32115,2035.2853,133.12166,1362.8827,8.165801,281.54895,29.387714,61.809586,-3.1272225,235.37318,0.5387151,64.53472,-0.61390805,26.995747,-5.212679,66.78809,-11.641321,64.15224,-5.515575,41.466873,-8.801194,95.27153,-0.13568695,38.034054,-0.719068,29.131462,-4.0581474,32.290943,-5.3521886,48.87029,2.0836232,46.013657,-4.434396,21.87365,-10.798332,25.103546,-1.185572,15.393467,-0.91994184,38.899803
0.31380862,0.09591211,0.11359466,0.0013422214,1544.6098823466345,198557.30135351364,2071.7202616911777,183555.36270709126,3370.4356800426135,1511677.073780909,0.04673073508522727,0.00019425239937364565,-5.1701576e-05,0.010578278,-6.6030196e-05,0.0010176264,172.265625,-158.01425,1335.9014,122.196686,451.05212,1.2324996,211.36444,43.101482,117.73803,7.991582,107.821655,5.663478,44.791737,-10.107003,73.93791,1.7455051,58.239975,-1.4159763,36.541397,-11.741916,72.36087,-8.17087,29.068409,-2.0218453,40.718754,-6.3041673,19.712618,-4.164513,31.674885,0.04509074,40.38058,-6.812109,10.258983,-3.0971105,41.122375,-2.7066507,29.941826,3.2437446,26.125635,3.6196678,35.148373
0.3076799,0.09028821,0.13269877,0.0019821904,1302.77821414733,165452.0928315291,1735.3250601860857,190516.86212261568,2400.707452947443,1275224.757478688,0.048517400568181816,0.0003587017374590409,1.6457421e-05,0.009232716,-4.5688485e-05,0.004871273,80.74951171875,-146.04265,3050.7617,152.37987,771.5387,-6.782703,239.7142,14.518924,131.44522,-9.724403,194.08519,-0.9934061,87.77349,-5.916901,27.466509,1.6255412,80.84024,-7.0602345,38.620895,-6.2793856,39.728897,2.997851,91.414215,2.2720249,54.959034,-5.2990756,23.239944,-5.80703,79.38428,-4.3514905,48.154373,-4.166553,29.706396,-0.69738656,18.404182,-0.64356416,13.226233,4.152689,16.935095,-0.19470137,24.733587
