chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.47343206,0.088334925,0.022383252,0.00017016366,1638.4187424756894,509493.2258991915,2113.9956974061797,151217.00342295697,3755.8310768821025,2998536.97126408,0.05502041903409091,0.0011740139693268076,-5.563011e-05,0.00022865893,-7.6717966e-05,0.00020241231,135.99917763157896,-346.915,2045.0375,114.134,572.10583,9.255635,124.506134,48.786705,37.580334,-6.090431,58.31084,24.489601,23.889984,-6.2932363,53.971554,16.908386,45.883926,-5.8895955,31.298895,11.581324,32.20977,-9.929668,55.46713,4.4448323,17.717878,-9.963254,66.127266,3.7052114,16.547997,-7.880801,31.731434,-1.96001,21.051512,-5.9536138,21.094,-2.5550258,14.097909,-5.880214,26.75962,-5.0125155,15.178847
0.23527478,0.08980501,0.061667297,0.00048597975,1296.4518681144111,224532.51712682194,1767.619394321437,214645.14791955453,2687.9799582741475,2280667.288464394,0.05313387784090909,0.0002603235323567036,2.4423616e-05,0.0035946232,-1.7105118e-05,0.00023226182,129.19921875,-266.20337,1314.2378,138.77098,703.3755,2.6192002,70.137375,38.12994,27.231548,-13.818207,34.77084,24.411566,43.51018,-13.674024,54.767506,14.169659,19.588219,-12.55192,64.46291,5.8365803,17.045252,-14.836578,65.238266,3.0033228,23.86283,-13.691177,82.92667,-1.0291382,9.219138,-17.561531,23.622894,-5.6386395,42.922333,-4.028502,53.398914,10.860523,76.46128,7.7091556,135.07385,2.0231879,73.98681
0.24781695,0.08396756,0.04644687,0.0004306574,1534.6265440397765,211418.39631643426,1924.6402688977885,158619.19028570247,3378.265935724432,1756556.9804707342,0.07074529474431818,0.00016743720562990047,-7.2182606e-06,0.0014054421,-8.7216176e-05,0.00059183844,135.99917763157896,-264.25833,1517.7081,127.39566,502.854,-5.197833,50.135326,38.564083,47.62964,-10.92908,55.28141,23.235647,35.274326,-11.211562,97.947174,15.362192,35.98779,-14.919639,97.34191,-1.8143773,45.91309,-21.091795,39.623764,3.2092466,32.077255,-4.248776,84.8496,13.847568,33.560257,-1.1594081,109.05917,-3.2148263,61.0082,-14.22338,42.27093,-12.237304,70.078186,-9.293918,58.73842,0.12144492,15.732724
0.25329876,0.09396631,0.052902445,0.00029056112,1209.0247741691064,206156.92192921852,1695.621126208675,147333.22796449118,2362.045565518466,1960677.6373011393,0.048140092329545456,0.00015929957066685698,-1.071419e-05,0.0014922769,-0.0001132155,0.00079572544,135.99917763157896,-294.05545,2440.2502,137.86963,576.59283,5.1374407,71.06457,37.991665,59.67296,-9.055013,94.31306,21.654373,72.38276,-6.2692227,69.40734,9.136099,30.73377,-13.704787,94.396126,-3.871425,32.444683,-14.617565,86.307915,7.027405,35.54153,5.638523,113.23272,14.31246,41.733463,-2.8671427,76.02629,-10.328535,101.33858,-15.935471,69.96041,-8.602457,13.9982605,-4.010412,62.1947,-6.652016,12.193155
0.22788456,0.09075446,0.053990174,0.0008348852,1432.036235633443,165073.69854417408,1870.2003525174403,130845.07332047251,2986.9978471235795,1830816.9065388145,0.05325594815340909,0.00016243238587024784,1.9557898e-05,0.002045738,2.1332798e-05,0.0008149275,198.76802884615384,-275.58597,3719.2515,128.71281,374.75955,-0.24169566,79.33092,33.46289,21.014462,-13.749802,43.091457,17.331816,48.78606,-12.792975,38.484768,10.537838,33.746933,-13.466864,73.3162,1.2847053,30.052671,-15.792312,47.674965,-1.0879931,17.275036,-14.289182,35.102776,-5.7029223,16.695608,-16.596144,57.891087,-6.261849,78.53226,-0.54584885,71.394775,11.335361,82.15849,8.516961,84.54998,-0.47394153,72.22626
0.51553535,0.0803476,0.035913076,0.0006102789,1256.8193849788242,281136.240209916,1789.237362568122,126813.6775175015,2693.8526500355115,1952027.7277604975,0.04295765269886364,0.0007416062857493881,1.7772425e-05,0.00041848616,-3.589424e-05,0.00079374766,215.33203125,-321.18948,6005.344,140.71593,538.5334,2.5946,165.35548,36.916004,47.962753,-5.809441,129.81984,21.361176,62.457592,-8.671788,110.62703,10.820581,33.3694,-7.655281,44.485382,6.1473446,39.85921,-7.844309,48.374535,1.3754363,17.158796,-7.4835277,45.605507,1.1552337,27.21005,-7.1425405,50.17151,-4.402666,29.469086,-6.8194575,31.9465,-3.1256056,24.672884,-4.5465965,40.38607,-4.4821835,11.784499
0.4261413,0.08999282,0.025739878,0.0006174778,1715.5480802026445,255979.3374131931,2127.7647047628534,95493.93621030677,3985.6001420454545,1547434.711517874,0.05382191051136364,0.0006210355719258963,1.738231e-06,0.00025577858,-7.017626e-05,0.0006250979,95.703125,-322.6025,6306.7627,115.93726,335.30756,0.95494485,164.32024,33.788868,27.007805,-12.015275,80.10475,12.447598,36.97838,-15.233182,88.538414,4.4482512,30.434523,-14.537841,76.24656,-1.237478,34.405766,-12.084014,48.68567,-1.6283091,12.632669,-12.970856,49.636917,-3.2662187,20.00254,-11.897228,25.853588,-7.458629,18.951017,-10.20359,19.136799,-8.274494,22.756956,-9.733088,30.878113,-10.187426,17.596554
0.23026764,0.08959893,0.04951403,0.0004461415,1389.6086767177133,87712.77672976673,1756.8957418282205,136868.81408645105,2944.66552734375,959780.9432176027,0.049116654829545456,0.0005392304136733378,1.8704318e-06,0.0015572219,-3.8547176e-05,0.00075703237,89.10290948275862,-279.50998,3428.8127,134.7376,305.4152,-9.396325,161.99994,34.82657,37.96157,-11.253535,154.68364,18.991234,81.74085,-10.928737,78.39065,8.072221,44.025543,-12.137539,66.91331,0.39243844,42.174164,-16.998146,56.968174,-2.5588195,21.038729,-8.4498625,97.18316,6.1572356,80.98332,-4.015041,231.91676,-3.9191887,109.89102,-12.797855,25.012115,-11.784793,54.842297,-9.302321,56.81858,4.5832443,24.196287
0.34867013,0.1089855,0.036808174,0.0004955079,1550.373350648305,222527.41817921092,1885.8805205591777,129184.62024568162,3287.973299893466,1491418.8472036857,0.06617320667613637,0.0013710096601612313,-9.755546e-06,0.00093088445,0.00018531288,0.0006297239,95.703125,-304.17166,4087.5994,126.51064,342.13855,-10.806309,369.4727,38.81583,54.064064,-9.121626,162.50377,18.607399,63.607975,-11.429076,72.19733,13.24369,66.87763,-12.297177,75.59143,0.78045756,44.136616,-15.435589,88.73514,-0.523663,18.403833,-9.085046,64.70139,6.3997326,69.08597,-0.7564703,65.96839,2.609934,32.141853,-9.300314,28.634764,-10.112123,54.45901,-10.263292,27.574638,-1.3643527,33.77583
0.4158109,0.08358289,0.028553503,0.00073955895,1420.45637310261,171969.66689041915,1866.0844603687037,98079.69869282996,3164.4020774147725,1270884.7738617708,0.044988458806818184,0.00042250580038906134,-8.602244e-05,0.00037023876,-9.744956e-05,0.0009300472,123.046875,-339.5666,7315.7515,127.12558,445.82483,-1.8195041,136.76682,34.58643,40.59916,-0.7892886,117.4725,11.17804,87.163605,-7.667201,124.81938,-0.47270814,98.05803,-10.72458,62.347816,-3.6569273,55.764942,-7.4108534,48.11686,-3.2938576,20.236753,-10.416195,81.34859,-2.682532,27.239046,-6.761381,55.840466,-7.595239,10.556898,-7.617143,30.127918,-5.0828495,12.557359,-5.656846,29.44411,-4.6166077,14.663781
0.31308237,0.09579006,0.04125063,0.00063084107,1357.171056112615,136339.94592633203,1892.0541669753818,59930.86887652532,2915.302068536932,961137.0122124832,0.034623579545454544,0.0003591214329743188,-3.936599e-05,0.00094513374,-6.435552e-05,0.0007790551,129.19921875,-294.48117,5499.4966,131.90167,245.77135,0.9567816,107.08848,37.654724,76.78347,-9.226608,50.707443,13.531799,42.263653,-10.997679,58.123196,13.230191,52.37788,-14.453609,64.60706,6.0349045,64.81855,-10.7430935,77.7993,-4.0425944,16.008595,-11.532266,17.81639,1.7045665,64.24774,-7.6426854,15.256809,-5.1275244,23.389277,-6.0014467,42.474003,-7.0971265,18.913269,-9.7186575,14.762393,-6.3530536,22.179749
0.21508178,0.084261805,0.026481776,0.000121624274,2003.3501175420542,64475.86705319957,2284.4728659960465,10459.943917363784,4607.860773259943,206445.0386028029,0.05482066761363636,0.0002353230783762026,2.9480914e-06,0.0004461029,-2.8656803e-05,0.00021235767,184.5703125,-287.48907,1071.6649,101.15703,64.925514,-1.0101486,33.275993,52.084267,14.878803,-18.014277,24.817772,10.019483,51.81952,-18.466728,36.588406,12.858474,47.712463,-15.85176,22.178993,9.089959,12.704947,-19.813713,16.233416,-1.0362418,11.422939,-15.219842,32.74948,6.2697678,27.697771,-12.22001,14.272538,1.2457498,19.35709,-4.8381987,36.372326,-6.6802716,17.1812,-12.570558,28.748455,-6.7118654,22.540773
0.20590606,0.08244377,0.031135798,0.00011654813,1512.3068665612727,152794.84426624616,2072.802072437047,72014.58909040285,3452.4086692116475,1620035.5966238321,0.03750887784090909,9.453592221598979e-05,-1.2714662e-05,0.0006189974,-4.12372e-05,0.00034531517,172.265625,-320.27585,2103.596,118.4523,219.2527,12.637412,80.33753,43.1613,24.78153,-14.662216,48.30341,15.277148,66.734116,-12.132086,49.00731,18.885874,25.621025,-15.286149,20.946404,6.4424596,14.341348,-18.091372,16.252495,0.26507723,20.391157,-14.000596,70.66812,5.0597835,18.367964,-7.3186493,32.405426,0.33651692,11.667242,-6.5113893,21.070652,-5.324947,6.265431,-12.673435,12.24671,-9.129037,15.573661
