chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.32946545,0.09300676,0.23033352,0.0011657496,2670.040202425576,416582.8474926973,3031.1866805937516,87180.19663096702,6028.073397549716,1385041.437696758,0.07420765269886363,0.0006716629444075025,-0.0003087042,0.046565212,-0.00040067738,0.0028452012,135.99917763157896,-66.96994,1353.6008,66.40165,416.30368,20.73161,316.52966,36.945614,187.75499,13.76586,51.830746,13.141482,181.99069,15.776639,47.749424,15.33902,28.856403,22.74027,44.30275,4.611563,57.421482,3.4018981,31.23244,-1.4079018,18.730145,-2.554229,14.874478,4.7382894,18.725613,-3.1258903,31.915468,2.4175463,41.27211,-6.5911818,20.187334,-8.084184,22.453695,9.892335,30.667614,1.4541868,29.31473
0.2979679,0.10007696,0.16507073,0.0038977638,3196.4877965620904,1855210.4690158109,2968.2468457003847,165400.42699688545,6427.905828302557,3148998.35877767,0.10761052911931818,0.004877255352075434,0.00050460384,0.023588652,0.00052889326,0.003919867,172.265625,-100.35169,2471.615,59.047447,996.883,18.354628,1700.0669,16.287037,193.90536,3.0995893,221.84409,20.642418,313.61273,8.902082,90.71529,4.0331554,196.22987,11.171289,28.255934,2.7365644,33.59529,0.27922776,63.277847,-7.0846896,138.2957,-5.801443,35.1031,-2.987354,89.24053,-5.835208,40.541405,-5.3560863,137.25024,-5.9763913,44.685886,-7.161287,38.591972,7.080332,242.40782,4.922625,115.120705
0.37763247,0.094465025,0.20484199,0.010200963,2813.0672322497953,765405.1838624923,3177.3893083051157,145264.07273251723,6676.761141690341,3045998.966953725,0.08107688210227272,0.0030235914159412224,-1.5239024e-05,0.027041944,0.0003940081,0.01124396,92.28515625,-102.10269,5480.6616,65.36398,412.94186,26.563282,491.37292,27.553133,394.61243,18.19442,132.91434,12.842175,230.63588,15.923957,125.542816,12.229656,82.18652,12.44305,106.52771,3.9555397,91.72509,0.0722343,32.075485,-4.3621745,65.99959,-2.751476,54.452938,-2.6951303,31.057808,-5.2707973,33.940292,-7.5578365,41.832523,-8.659125,58.512817,-5.65126,32.881813,-6.1828647,23.961952,-7.0222645,42.8896
0.38996345,0.08841467,0.21597105,0.0015315495,2921.22101038636,1203971.729476528,3286.8470146701434,232567.37713849705,6911.913507634943,4257064.320918881,0.07174405184659091,0.001335115841597565,-0.0004743275,0.040480524,-0.0005888745,0.0040134205,184.5703125,-80.64428,2392.0857,70.32384,829.70795,34.42847,330.86154,32.54827,173.67735,29.972023,55.91937,8.520036,54.237305,11.998862,23.998,13.244812,21.044422,14.086582,34.87858,2.500818,44.17012,3.329309,24.58047,1.6362424,18.312153,-2.4407094,24.344942,-3.4305093,24.283361,-4.9782977,34.226906,1.3914193,48.670834,-0.36954412,20.372252,-5.4329853,16.244453,-8.343743,17.458021,-2.5058095,23.67129
0.3156724,0.10216638,0.25460076,0.0047144634,2840.359561757792,691701.9133558101,3212.7438227369976,91377.8474055265,6873.985706676136,2987237.49403126,0.08134321732954546,0.0022115958623649657,-0.00011481979,0.051345643,5.82104e-05,0.009183634,184.5703125,-78.52912,3496.7976,63.084877,577.5526,32.788498,476.95462,36.03698,216.82848,17.285585,121.283325,2.4024045,210.00157,24.574663,103.99655,8.489806,42.72548,10.811065,41.469467,4.9400167,30.398582,3.9059503,36.05045,0.973964,18.58639,-5.1717677,53.642757,4.47366,42.55875,-4.5383115,24.139082,-0.41019094,44.931892,-4.4065413,35.15597,-5.753977,37.022495,1.0357306,43.401047,3.6871176,70.08505
0.43297696,0.098625995,0.23883305,0.0058802497,3174.044421148505,1609040.6265047365,3291.115627481876,241456.52583803094,7074.636008522727,4267530.445614136,0.10200639204545454,0.002852112793725384,1.5711881e-05,0.039846163,-0.0006807307,0.010788143,184.5703125,-76.1388,3656.732,59.17848,972.9722,41.271317,451.1527,36.561718,90.16529,25.645546,92.323616,6.654837,85.9361,11.694989,70.867256,15.530468,60.044712,13.624216,64.56311,4.861645,28.345675,0.31718424,41.50332,1.4148873,21.644678,-2.4554396,13.404544,-3.1463006,23.405306,-2.2176213,20.43127,2.173794,61.62467,-1.209351,41.65439,-5.0506625,24.38069,0.22920896,39.578037,1.1927783,43.24243
0.39478528,0.087910265,0.22629787,0.003327637,2905.798548298392,1234911.3331375592,3071.156624160432,245244.42340545927,6454.088245738636,4317705.956438849,0.08507191051136363,0.002501973928498827,5.4700682e-05,0.039090093,-1.289731e-05,0.0082364995,184.5703125,-66.99453,3824.5625,65.66851,909.3615,25.478699,612.54755,36.26029,240.46465,18.695425,103.83894,9.761423,36.886158,13.172674,110.90705,14.020096,96.41424,18.10088,48.90928,-1.864468,43.074993,0.76983446,41.490955,3.2280207,18.800964,-3.2270403,43.13527,-5.723123,16.680458,-2.692546,22.321974,4.169446,65.52585,-1.5211872,46.242275,-2.1441557,54.486332,4.468741,100.7728,4.297379,67.17874
0.46448457,0.09997976,0.2362851,0.0037749938,3896.1859559342165,1746659.0875631121,3332.381030669119,201714.2926261372,7941.836825284091,3436471.872874036,0.1426114169034091,0.010712248604159709,-8.220742e-05,0.037443016,-3.4782686e-05,0.013454618,184.5703125,-50.297684,2622.9292,39.431854,1175.9469,27.553368,744.1313,23.001793,96.72868,19.60631,89.82922,13.254452,53.937706,15.344227,70.55911,21.106102,111.45295,22.40998,88.83517,-3.0009658,41.792038,-0.8080311,106.17103,0.19141668,35.264767,-0.14522853,68.5073,-3.6314483,42.064964,-6.5666356,63.432457,2.7279108,92.652435,-1.6540507,103.81563,0.64870834,57.904213,10.378418,57.718693,8.0997925,61.37753
0.36530924,0.10059731,0.26879764,0.0025367627,3783.361336147139,1921169.756110461,3420.518109454404,75602.21364872367,8081.802645596591,1731440.4846346083,0.12218128551136363,0.011299521962473214,0.00039661853,0.051384177,0.0004927519,0.014691782,184.5703125,-69.76885,1963.7012,34.217716,759.3934,56.462303,793.3858,42.438496,278.49203,23.01053,22.780577,13.944016,68.151566,18.386898,145.2591,14.545932,43.230423,7.799444,12.425751,7.1487856,45.896896,7.1574664,36.577583,-1.1648368,96.39014,-4.386077,51.845543,7.359074,57.19905,0.405213,52.184254,-3.7139692,50.696644,-1.8631222,20.730648,-8.617164,14.040315,-1.662473,14.147582,-2.628757,28.992216
0.36579427,0.10258642,0.24118944,0.007112901,2946.5041214251005,1521912.341560066,3263.7620742314075,235730.94312949103,6924.392977627841,4904771.504065961,0.07870205965909091,0.004278001706462261,0.00010032342,0.04626177,0.000353152,0.010796147,184.5703125,-117.90647,5253.221,54.972828,1061.9836,51.596104,148.97504,29.681988,510.38565,14.814993,226.20522,20.290136,68.147865,23.34455,65.18838,12.139878,83.8967,14.4877205,46.5222,10.4906025,54.062527,12.293869,40.546116,4.545182,37.37493,-6.945845,64.04424,1.6448513,65.459114,1.9617966,52.2384,0.65936506,49.82282,2.7639768,68.050224,3.1870866,186.3568,7.813028,227.79605,2.4473944,282.6929
