chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.45327625,0.07458862,0.15080279,0.0011964814,1971.1887567766717,1292006.9197654242,2224.995231408909,424950.00457271864,4188.2080078125,6453482.050895691,0.057373046875,0.0013580268079584296,0.0001049938,0.015566488,0.0001289952,0.002950295,161.4990234375,-150.26671,2291.5103,110.92451,2664.553,26.403076,193.04472,53.227615,190.08603,-14.538659,174.4067,39.239403,200.73988,-0.6944559,66.614586,14.208263,65.35155,-10.807082,63.855484,18.267385,128.58116,-10.9784,68.913155,20.10778,156.91849,-6.6319995,57.885788,8.310147,85.36293,-8.823571,22.417135,11.587983,74.131,-3.7615943,86.58245,2.9445465,33.96163,-3.3680315,16.352045,-0.07826625,6.262985
0.4129439,0.08173292,0.17897157,0.002249096,1122.2111714503217,323947.45575324906,1641.0191521083261,138246.59884599337,2271.0188432173295,2280975.290005796,0.03255948153409091,0.0005005681810300211,-0.00018158212,0.022287756,-0.0006270094,0.004885962,103.359375,-160.1812,5721.4185,146.46175,491.1816,-0.92836225,472.51855,50.790516,163.0299,-1.7842346,176.63799,34.922714,61.743202,-4.0318074,116.35729,15.722668,44.399372,-3.6209772,37.074444,4.655821,11.467983,-2.8369932,56.653454,10.99723,33.218075,-2.3807936,47.066196,0.729543,33.33695,-3.728987,22.63333,2.7432756,26.82237,-7.7781296,77.63715,-8.320867,47.313087,-3.9625037,31.602385,-3.4319146,19.842571
0.4209475,0.09648162,0.1844736,0.00074704416,1059.089632227361,183682.98915099187,1688.7163226579178,104910.15134316472,2148.181707208807,1342537.2249833194,0.0264892578125,0.00037616084922443736,0.0004014629,0.024105614,0.0009170642,0.0034648443,151.99908088235293,-156.49977,3985.0842,145.76404,185.3423,2.1616945,196.03893,46.40183,154.97209,4.1099696,251.75122,37.022552,82.16224,-3.6521947,132.55684,15.622391,60.215443,-4.7544117,219.67374,13.017872,75.24954,-3.3509562,77.76304,11.04518,23.647816,-9.935831,106.150055,2.8279865,36.701195,-1.0649495,45.764164,2.4571676,16.242998,-9.199325,31.313288,-4.284413,25.762806,-4.5711484,20.05196,-4.4672017,19.115786
0.44143942,0.0847226,0.18574695,0.0007488763,804.3694580775984,27884.464804144194,1558.789207370401,49416.82133464876,1181.8792169744318,272342.10011264513,0.020973899147727272,2.897820196861078e-05,-1.5764786e-05,0.022601312,-0.0001845135,0.0038959396,151.99908088235293,-181.99673,761.5279,164.68298,164.35231,33.58793,115.45642,39.258945,118.478806,1.9743352,98.69257,28.65926,71.461464,-3.3544657,45.67529,16.144814,28.036232,-21.039953,106.39194,-0.606225,29.506464,-6.933841,51.972683,20.475725,72.95789,-3.6220596,18.699295,3.383969,37.492775,-9.210741,29.256554,2.0126882,19.35281,-0.07870993,37.739845,-2.2982962,29.676117,-3.1507132,43.26317,-1.0187494,7.0830684
0.40589356,0.08365342,0.14352424,0.0017965686,1095.9021659042644,324591.4852278883,1624.2670714862472,148330.77505286632,2160.171786221591,2190825.023138819,0.0311279296875,0.0003401813181963834,-0.00029859404,0.015326163,-0.00032322353,0.0029539159,99.38401442307692,-183.15121,6031.5376,150.25194,509.85294,0.62470436,472.8292,53.73826,265.39465,-1.5718209,156.9826,36.77363,23.239857,-5.1097813,109.509735,20.17829,48.84172,-5.864912,46.808533,7.111008,29.028986,-5.322734,32.83992,9.057001,72.01153,-4.8925085,49.28634,-3.0823,37.235176,-8.359698,22.36806,0.32912743,32.807907,-0.66379833,51.41489,-2.5872498,15.329224,-4.5669074,18.085676,-2.440921,26.65825
0.42999318,0.08336055,0.18968247,0.0011680446,1009.0514845019582,180776.31010871657,1732.946852876702,144847.2264105199,2016.046142578125,1543866.767534478,0.023326526988636364,0.00013397892644582702,0.00021112937,0.024496693,0.00025972154,0.0034115692,172.265625,-170.67708,3804.2334,143.14369,297.95926,14.851844,459.7612,57.68251,30.619312,9.688048,127.311005,37.71533,44.66881,-7.101238,163.49945,14.987585,19.085375,-10.123531,89.91113,14.020095,61.846264,-8.437725,104.04528,7.167557,25.943579,-11.147677,66.71582,6.5708194,53.59128,-1.4363011,46.579506,0.6450333,20.01641,-4.840607,33.579494,-2.5635908,11.858844,-4.657056,21.928411,-0.9941009,18.302248
0.43744877,0.093101025,0.18987656,0.0003485921,910.83449096132,235941.26867178557,1582.084683829476,101193.53206075127,1573.8813920454545,1614473.1869825646,0.019997336647727272,3.9067642747863265e-05,-0.00021622585,0.025693662,-3.2162216e-06,0.003064342,135.99917763157896,-183.43544,1405.886,148.49208,724.9215,20.357332,235.89262,56.712807,133.21346,2.1675508,58.554237,36.48409,54.214005,3.6676557,57.321854,14.206275,31.996424,-15.131591,45.737087,6.0194583,68.62744,-2.132891,50.221657,13.034527,76.15286,-6.9756336,34.622593,0.3235263,62.055763,-3.1745355,8.868605,3.9885473,24.061888,-4.473804,32.584293,5.3159885,31.337225,-4.6898713,31.870153,-2.3859117,20.43537
0.41413507,0.08471331,0.17878248,0.00096113305,1796.5172042416316,1227951.54459208,2125.0213322166646,177911.3331444289,3623.9402077414775,4533147.286564604,0.07176624644886363,0.0053555043029391075,-8.378318e-06,0.020707512,0.00014135032,0.004585862,161.4990234375,-134.57362,3754.38,110.42392,1568.6016,20.409508,396.71954,59.796677,59.163734,-3.48407,272.0704,43.13588,252.26933,-11.684869,45.58884,18.824562,38.59976,-10.466597,48.497135,10.649448,58.30292,-9.78453,32.586422,10.421876,53.58716,-12.225862,131.50679,3.2799423,35.09384,-8.917716,54.362484,3.7694361,25.803322,-12.051406,68.589325,-1.0532776,11.665099,-2.6017578,26.521242,-0.5859992,14.868938
0.29207075,0.09056902,0.206047,0.0010400269,1344.9170898256943,99698.2296066238,2075.409539596119,36560.795412188796,3420.1088645241475,868975.9934474983,0.029585404829545456,9.102515937868229e-05,-1.6649785e-05,0.033352915,-0.0002761415,0.003155459,135.99917763157896,-151.49963,1994.5414,113.75315,89.8236,12.759378,239.66078,62.245716,109.44033,8.880926,113.13059,45.842484,60.4724,-14.127532,51.258244,21.758453,46.774147,-6.569725,46.751022,1.9059125,84.13368,-6.3264527,33.11518,13.325822,61.289745,-10.709495,27.03777,-4.797743,58.189537,-8.850956,18.427683,-0.40853795,17.870487,-7.809645,36.09407,2.2535276,22.762049,-2.087196,24.849817,-6.221977,19.647442
0.2779879,0.07483572,0.21355987,0.00060342345,1633.0517194578094,60882.74024083198,2153.639214697127,13789.92127418954,4229.316850142045,449406.3423783326,0.045487837357954544,0.00027708512199811695,-8.306292e-06,0.03872129,-0.00025933064,0.0022570072,143.5546875,-110.32597,736.29205,109.30628,97.88744,3.1644745,63.013016,72.070595,104.873245,-0.48157436,26.5248,38.01524,41.28217,-25.99926,40.501637,21.460726,65.34334,-3.7970886,16.094051,-5.13134,25.313597,-8.9391365,10.261491,21.946943,53.688187,-10.448836,38.16828,-3.4467618,55.212326,-4.249451,30.345873,-1.5951842,37.20422,-12.29938,27.092552,5.8532896,26.335033,-4.1260653,10.414221,-6.5871477,8.287754
