chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.52588433,0.08994219,0.081071265,0.0036682768,1271.1104845940977,487168.23240626144,1912.1052692364678,263993.7711092508,2785.8167442908652,4128584.4349981407,0.03642202524038462,0.00077669325664904,-0.00013993839,0.002224822,-0.0010341131,0.0053270194,198.76802884615384,-267.2736,6911.063,124.40264,631.01514,19.998978,823.7174,33.774506,191.02614,15.1253195,235.08638,28.166239,91.91929,-0.9612219,159.17978,22.008474,52.010487,-1.2077171,73.97931,16.455797,56.69826,-3.2203906,65.96331,5.1438103,41.093758,-2.9742188,43.778847,3.309607,33.416443,-1.2048783,28.638994,0.89610595,27.997242,-0.086337104,28.14232,-1.2621492,25.665722,4.3028846,47.700596,-2.500724,39.233444
0.48502424,0.089034155,0.07570343,0.0027009135,1574.0580469517108,328544.36955977906,1951.4512099408857,140931.9578333294,3481.836125300481,1963629.0407501385,0.061699969951923075,0.0013769443359600724,-0.000202724,0.0016486162,-0.0011264452,0.004374037,103.359375,-212.26535,3936.6038,120.01211,503.39355,-5.348709,613.04297,45.505543,377.83643,5.728372,222.01547,21.626627,234.69289,-3.2053323,178.17754,14.745919,89.70405,-11.36025,90.95074,11.703677,69.10373,-5.9851723,84.44581,9.380499,58.28749,-1.7823131,57.107323,1.5377473,67.75704,1.5125474,86.73896,1.865762,34.571545,-1.9640377,45.782177,0.69826853,39.03291,4.3327203,57.759388,-3.5834327,43.174328
0.5341899,0.08652907,0.090133905,0.0037734495,1379.9014822742342,402097.29810721974,1944.8299676410627,198054.97774566337,3063.429424579327,3162541.4598280513,0.04524864783653846,0.0011976439713021001,-0.0001688175,0.00212016,-0.0011526669,0.006289527,103.359375,-226.60994,5999.7554,123.046036,343.37692,5.797029,712.1856,36.074047,289.73804,12.553476,352.86115,27.140753,122.53198,-2.4142663,222.67157,19.985966,60.065804,-4.560634,90.887505,18.50174,68.68402,-5.7291718,83.20915,6.268337,57.860527,-1.3102168,50.500893,6.4017286,49.958878,-1.3055538,37.908985,2.4345372,35.00649,-0.9761179,34.77001,-4.311783,45.043415,2.1878128,52.178314,-2.4423306,43.52442
0.5557606,0.07958291,0.090607904,0.003510619,1520.1858690608587,365152.5064513023,2060.5391722841628,168907.33640643733,3410.776554987981,3038649.1634175973,0.04958683894230769,0.0007348356303378675,-7.737665e-05,0.0028218783,-0.0009824657,0.00528269,198.76802884615384,-203.30959,5600.7256,123.21857,668.4917,8.321912,546.42456,34.17748,318.07602,2.9031556,179.15263,25.951384,113.17119,-6.4813237,78.14532,20.77802,62.781593,-7.047997,58.01021,15.768524,73.98825,-4.0035763,35.69991,9.791431,39.749775,-3.8523612,43.34409,4.9492426,43.13222,-3.803273,22.713577,1.8617033,28.188147,-2.0283787,26.550098,-1.9792403,28.680367,0.14151137,40.604687,-2.8749592,43.067795
0.53176343,0.08133582,0.08941282,0.0038834324,1623.7588661755606,316154.4708875487,2152.170075294995,172636.01400266527,3809.8033728966348,2731685.5973290624,0.05588942307692308,0.0012068130560880584,-0.00016683775,0.002838718,-0.0011773409,0.005229368,103.359375,-195.36568,5809.77,118.925125,599.10394,6.379247,585.76306,35.796875,349.14764,3.7178981,211.35078,27.516012,141.97964,-8.759066,106.36283,21.593847,63.453728,-7.7787814,72.040794,17.015696,47.091442,-6.3251686,49.200935,10.905358,48.970085,-3.9869602,30.124477,5.774972,45.649727,-3.9375563,23.84205,1.6567708,26.867401,-1.9573047,21.910742,-0.7660927,36.810738,-0.15400644,28.566404,-1.7850131,34.56157
0.5422004,0.08582227,0.0888536,0.0031921712,1351.1379587043452,278554.36706459336,1795.0708152205593,146715.20070384556,2919.571063701923,1923431.0144565513,0.05050706129807692,0.0011969493126728127,-0.0001535771,0.0018973496,-0.0010613066,0.0062182555,103.359375,-210.81479,3126.5505,131.13593,422.81592,-9.716022,528.73364,43.17317,319.56998,10.079115,144.13799,25.803862,163.51845,1.8550016,155.0071,11.743996,150.45848,-6.9134064,166.3567,8.053963,139.71005,-3.5354571,45.778202,11.446886,28.512108,-4.8632307,37.03169,3.2648587,24.186121,0.3644293,55.9457,-1.635198,29.14141,-2.9794803,37.093105,-1.2906078,34.135666,1.7061833,52.902477,-5.149395,33.489017
0.5325536,0.081193246,0.08959095,0.0027250666,1340.4415400334722,282805.2688520606,1828.2440737410575,166834.45551162207,2952.284968449519,1959663.1599911926,0.042213792067307694,0.0006734301916946321,-0.00010791539,0.0023516933,-0.0010773445,0.0052558794,103.359375,-210.69772,4185.776,132.10411,557.86285,-5.0231047,524.0362,40.51801,232.53606,11.663547,157.97943,26.494175,142.95094,-1.3014587,173.05928,13.537639,133.50237,-6.5004544,121.32024,13.378522,127.3253,-3.763562,85.760086,8.853515,50.112793,-5.723663,48.68258,1.458028,40.006756,-0.7559609,48.00244,-0.06477297,36.905746,-3.083058,45.485325,0.2108042,40.07045,2.9405358,64.89937,-5.066615,41.695435
0.47599134,0.09312858,0.08964639,0.0033288535,1443.0936049823986,307265.0716726779,2020.5146839082931,150758.61640924856,3336.983924278846,2402068.1579915727,0.041913311298076926,0.0007575578097055649,-0.00014704131,0.0022431083,-0.0011106355,0.005960704,198.76802884615384,-219.49522,5682.3623,117.04001,342.2069,8.616924,511.81778,48.101532,212.84644,11.921791,208.19017,29.699553,80.93717,-5.2208176,105.58442,18.524794,83.714005,-8.202331,86.97186,11.369433,58.612576,-1.1628681,141.22215,7.990129,33.560043,-6.2290063,53.204117,5.749884,22.327143,2.5349338,50.04471,0.25764173,25.918962,-3.9373882,30.226814,-2.668157,34.14311,-1.9221339,32.53263,-6.6452093,31.151375
0.47073385,0.090451375,0.07623447,0.0028499025,1714.1358105140723,301474.7874523743,2095.197442520654,133666.2515790853,3988.1148587740386,2104092.1419013888,0.06677433894230769,0.0015048249374479937,-0.00018171516,0.0016149263,-0.001058464,0.0048203333,103.359375,-211.26535,2893.8074,110.02915,284.90622,1.0302274,791.9458,44.90822,179.96133,5.737331,253.46088,28.740355,134.05214,-14.981559,130.592,15.325607,96.287346,-6.2084765,68.52168,9.701081,78.08103,3.842258,82.79539,11.054342,42.32446,-12.271866,58.28521,6.853787,19.774263,5.009316,90.91175,0.9594429,24.755634,-4.139561,27.02028,-7.1705513,38.540512,-2.8969545,28.132946,-5.3940287,31.492167
0.5651012,0.073716395,0.08742551,0.00375295,1519.9185477915855,297134.7107041919,1842.3590484769582,129552.00770602742,3109.1460712139424,1527098.188274323,0.062939453125,0.001158908147078294,-9.941083e-05,0.0019060529,-0.0010818002,0.0064419652,103.359375,-203.9664,2509.875,125.76665,628.6177,-21.797653,758.2377,31.417658,328.40674,11.989807,393.96777,19.581144,265.47906,0.6534321,184.39069,24.788404,141.35799,-5.6670027,94.296486,17.333115,59.9871,-1.1753193,73.61779,8.277658,76.64696,-0.94707865,63.007183,8.128823,65.534134,0.20503598,61.05875,1.0560119,48.99952,1.7054662,40.902733,1.1071533,30.655096,0.74453187,46.113388,-4.159052,42.681313
