chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.5657566,0.062186804,0.08719167,0.00031267907,2710.244190514867,377220.2716530114,2222.8369542107157,108970.63412089412,5228.1788987379805,1155726.0924274751,0.17220177283653845,0.0032190520523567878,-0.0009007307,0.002717583,-0.0022513196,0.002156097,129.19921875,-85.49059,579.44696,91.97565,549.4005,-38.375843,616.2556,52.711044,280.1562,-23.02696,58.536606,30.711735,61.267838,-15.01819,65.75824,23.387049,24.769075,-17.850618,55.37567,21.272224,54.60084,-9.572124,59.153305,12.552796,33.842175,-12.385289,23.02991,10.345358,39.682415,-9.7668085,23.219767,3.656163,29.03165,-11.400603,29.678383,3.3932853,22.178175,-7.220828,29.693045,0.5505807,19.43674
0.41034773,0.086386956,0.08157411,0.0005350328,2686.448051474715,422276.5801725249,2370.501790372828,70406.70985860818,5462.476712740385,992898.4303003233,0.1482459435096154,0.00404783944406453,-0.001270424,0.0030643642,-0.0019745163,0.001774413,123.046875,-112.070755,1501.603,88.77275,413.1583,-21.67944,426.43332,50.668846,88.86945,-20.339193,97.04537,28.304762,82.01414,-15.139571,116.09482,23.454947,43.139214,-18.635164,48.077675,20.049765,60.05748,-12.01571,50.474922,14.346461,37.799557,-12.74546,68.87754,8.892206,32.55792,-10.41774,41.650772,6.9376826,32.606514,-8.879576,33.622025,4.7662697,32.782513,-9.432791,34.41367,-1.3979441,29.592615
0.40103388,0.08139519,0.08280288,0.0002480274,2511.8341079517018,151988.9155396736,2262.7058871483814,47774.10483546059,5081.421837439904,615668.1296037147,0.14642803485576922,0.0018461360733889967,-0.0011489454,0.0031231618,-0.0020495628,0.0016847389,123.046875,-118.34045,1299.314,94.83001,171.96576,-26.574276,264.52255,56.213654,86.635956,-19.27127,147.06445,34.870216,101.794716,-17.137068,101.31289,15.194991,49.00224,-18.818918,47.601036,23.55394,49.015633,-11.670625,41.74776,13.757301,37.32363,-8.273988,37.941765,10.456405,62.393173,-7.4283037,24.897282,0.8653529,58.15973,-8.176763,33.128532,4.285327,31.702087,-13.785344,65.116066,-0.22856674,27.504034
0.40619996,0.085809834,0.079336256,0.00030004652,2453.6425103554243,291328.05063863465,2254.171196020079,60881.78458739945,5030.487530048077,851108.4325913142,0.13818359375,0.0030574688544640176,-0.0013288156,0.0028454473,-0.0020296944,0.0017087065,123.046875,-123.06929,1827.5392,99.09247,482.73627,-22.152527,265.56052,52.099113,142.68181,-25.477531,129.46878,28.907598,135.76631,-13.433681,149.95328,20.958254,103.337456,-19.444618,83.38411,21.337488,106.78613,-8.522492,46.543266,11.410513,96.9066,-8.402543,58.306736,9.075736,52.15271,-9.209688,69.79582,8.485411,79.12648,-8.566253,29.68996,3.587611,25.521852,-7.9123282,51.251343,-0.41457027,45.032543
0.43178087,0.08132373,0.08449703,0.00029047366,2713.981476911659,249896.9316262344,2257.632844135528,72127.5249431652,5298.990009014423,848771.4912537287,0.17355393629807692,0.0028638289666034766,-0.0013266029,0.0029243121,-0.0019066617,0.002032358,123.046875,-105.1453,1230.2609,88.161644,291.38797,-29.275751,282.71136,57.282314,154.82149,-20.66252,110.47811,29.06703,159.59055,-18.899357,164.1113,20.21131,78.52529,-20.215803,56.88031,23.525097,130.03136,-11.305086,36.623177,10.095966,52.176884,-11.903539,83.978065,9.681431,56.140827,-10.382136,42.752514,5.1142488,43.22083,-9.977355,28.955158,2.1582377,33.040558,-8.674332,48.189747,-0.19951054,22.660103
0.40485346,0.07846141,0.08971219,0.00033304215,2511.166474732089,152703.9085710819,2192.75901308989,52294.05371688201,4933.505295973558,730216.1725508745,0.14322415865384616,0.001238588976436818,-0.0010347307,0.0037805375,-0.0021430443,0.0018109534,123.046875,-99.17329,1767.1082,93.78499,240.12538,-35.394337,152.72133,58.272835,158.33467,-17.518984,251.96257,22.962952,74.80078,-20.87135,80.84567,23.302273,44.718857,-16.189495,50.60739,18.971357,82.49338,-10.001779,51.28014,16.731565,45.31546,-10.842842,37.865215,10.537312,35.15522,-12.388337,23.304321,7.883857,36.337074,-9.317592,24.601192,3.5881095,27.075045,-8.648069,32.33787,-0.4343372,28.007666
0.4068392,0.07959872,0.09698365,0.00022387375,2631.8752848744716,62432.61500723622,2210.476211874052,21081.53138481522,5125.730543870192,243214.9144192419,0.16188025841346154,0.0007311167660549548,-0.0007829447,0.00424863,-0.0024923782,0.0019943735,123.046875,-72.79703,287.0225,91.81946,117.65024,-37.26245,97.41645,51.12548,54.216656,-30.066744,85.73706,25.23033,77.09277,-16.220982,53.076115,19.42279,51.86827,-18.236155,53.69893,25.955404,50.83732,-4.599645,38.64643,16.454247,48.352406,-10.836802,27.465267,11.229821,39.921055,-12.855959,22.605541,11.238985,25.615204,-9.425194,26.950106,5.194454,31.234945,-3.5649798,37.91054,5.8534207,34.20154
0.5264758,0.06425729,0.082579724,0.00015953375,2696.903313436633,143537.6338137959,2211.4290648180536,56949.29914548597,5190.164513221154,590995.6895273818,0.17220177283653845,0.0016217282678953995,-0.0011821573,0.0029539631,-0.0019337598,0.0014971002,123.046875,-87.80831,379.84012,88.20455,241.74179,-39.526783,274.94272,56.578247,112.09314,-23.456686,51.594307,23.725412,78.21317,-19.960926,57.969963,19.1792,42.8166,-18.31101,42.239475,22.85939,36.397263,-5.4898977,39.827557,16.714836,42.646797,-12.847571,36.924477,8.185713,36.78535,-12.139358,30.291489,2.7755814,44.24942,-13.384781,26.431284,4.1171827,43.24171,-4.246938,29.231829,2.0778165,17.388334
0.38806814,0.07774833,0.09736294,0.000498721,2661.355601352489,98161.70257102656,2247.0514419183146,48666.07312951686,5251.8654221754805,442629.0591377125,0.15094275841346153,0.0007188187689470822,-0.0014990417,0.0052296584,-0.0019842458,0.0020245817,123.046875,-84.5614,693.18604,88.12563,202.25609,-36.64031,209.72617,53.799118,118.7866,-28.38904,126.495224,23.730871,66.26814,-18.315273,69.50023,22.567705,77.76792,-15.719817,45.061054,22.509626,49.439636,-7.4490714,35.155094,14.821512,52.53607,-13.068353,58.054207,9.545187,56.007107,-11.669165,32.80434,4.701076,58.474243,-12.318617,29.107786,3.826245,37.916298,-7.491598,43.04604,0.28390485,21.306318
0.42350447,0.07850331,0.09584619,0.00017940039,2719.0727433710663,115764.39101819975,2279.210828960842,40171.02230765941,5315.139911358173,477473.9749925729,0.16805889423076922,0.0010717237348387225,-0.00083524006,0.0044435156,-0.002455226,0.0019055333,123.046875,-78.549385,323.76886,85.01802,135.9118,-34.667374,238.80989,53.878223,50.92989,-21.864328,79.24564,29.340637,78.20328,-13.590666,51.197575,22.45667,31.224722,-18.292818,22.664986,26.02131,43.691685,-9.440687,37.21908,15.793959,24.400866,-8.7077465,26.590002,13.406555,23.096994,-16.065224,37.17536,6.756029,36.383102,-8.19315,30.633842,9.465931,30.340048,0.37781325,30.7419,7.216925,51.69148
