chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0.4250487,0.095571645,0.07699479,0.0017804601,1678.4533769639888,1558320.703466527,2025.1493805157993,476888.52631789754,3476.618464543269,6220700.020051425,0.06356670673076924,0.004047847838091426,5.9670514e-05,0.0038920247,-5.01125e-05,0.0022063865,161.4990234375,-260.46194,8012.73,126.16704,1625.7505,10.71674,805.47595,21.232,240.27783,13.390836,303.9271,21.923592,287.44952,-6.6652446,332.5801,16.990753,182.04059,-11.759617,137.32759,17.816523,111.441,-7.537429,158.03532,9.740386,76.353455,-6.096603,83.34279,3.5229664,83.78761,-3.324838,70.42513,5.124569,64.444916,-5.0519233,112.06331,2.6758938,35.50237,0.9818093,41.8857,1.3612953,50.656776
0.33448005,0.09833882,0.08866775,0.0014944636,1816.475204431125,905720.0104538902,2178.5483827753537,285395.51964563486,3852.5384990985576,4132442.160610652,0.06641376201923077,0.0023951456532675837,-2.5868094e-05,0.0052266656,-2.1730917e-05,0.0022755903,151.99908088235293,-207.06313,3688.1692,118.28601,981.76245,3.6089714,690.166,28.695358,327.8247,4.9823103,171.96217,27.300016,207.56381,-19.632223,164.80727,14.354271,140.11316,-20.552723,167.07304,12.232931,152.66106,-13.013183,94.82485,5.7975054,140.79642,-4.8451886,123.14441,4.802522,88.10676,-1.1033194,76.75494,4.924826,83.02224,-9.724508,49.180084,5.8134694,33.149685,-3.1323416,57.68145,-3.9631174,47.08431
0.3811931,0.09823689,0.088905714,0.0016397756,1514.8993730305922,994732.8376193418,1958.2834757398407,386191.9349625834,3098.7935697115386,5220029.975769929,0.051513671875,0.0017543545136084924,8.590548e-06,0.0049914764,9.07325e-05,0.0024952441,161.4990234375,-243.14383,6799.0166,132.42603,1172.9535,4.8552556,574.0729,19.719734,301.33264,16.973974,562.4886,25.210398,314.84558,-7.9204354,216.81854,17.956472,130.17726,-15.833947,187.50319,14.309301,125.6767,-9.870703,157.50467,7.392142,126.82073,-5.8234835,101.81876,5.1049423,60.551315,-0.6351763,57.746986,4.252849,58.586166,-1.6321303,72.192406,1.2923113,65.02364,1.3455353,53.902042,1.1771352,68.55555
0.3650076,0.098233186,0.08446318,0.0022600146,1601.4011103209982,1245490.7607787664,2006.8190141622624,399853.69762549136,3212.5882662259614,5479366.619232844,0.05717397836538462,0.002705113506881443,-8.880262e-05,0.005262994,-0.000111947404,0.0020930725,161.4990234375,-248.96907,8343.998,135.82481,1626.5022,8.044585,614.7614,13.678512,233.9791,11.519578,136.34628,26.166729,209.50558,-5.596962,219.56157,19.637852,169.23518,-18.531555,92.67799,13.224237,171.16298,-10.676899,92.87263,8.816464,95.98807,-3.5503914,54.272896,6.328522,59.84482,-2.8949144,52.390244,2.8970153,52.550663,-1.4953308,53.104897,4.3617463,77.40181,4.4695473,81.005455,2.8116379,61.062546
0.39864376,0.099197954,0.09073422,0.0016714793,1505.4850493801534,896457.1955227337,1919.8718300505748,390636.65977134154,3016.9673978365386,4551501.752275546,0.05277193509615385,0.001665983256503675,1.39966e-05,0.005517614,6.8137175e-05,0.0022655607,151.99908088235293,-236.75162,6808.6475,136.01192,1263.943,-1.0051485,597.16125,18.007608,337.34708,8.77794,329.43372,22.978458,240.04572,-9.496785,299.0548,19.512575,219.06084,-9.781769,135.94455,21.846064,98.13403,-7.5028534,111.39937,10.734911,88.963585,-4.820752,103.942825,2.20474,87.162315,-1.2140825,71.13404,1.2118498,74.83123,-2.3474765,57.95967,1.8995128,49.0522,-0.7348778,47.414127,2.8461192,87.41657
0.35904518,0.09553399,0.08951021,0.0016614845,1539.4665201489624,740557.888265074,1902.0695942165032,320584.5415500362,2982.5970928485576,3857032.9819593555,0.062387319711538464,0.0020226241568841877,-3.162044e-05,0.0052009122,-4.6991e-05,0.0023788863,151.99908088235293,-207.15305,3697.4143,142.68182,1073.8429,-7.740644,480.8291,15.472941,303.75595,5.6164618,175.84491,22.893566,118.79841,-15.718779,197.72842,13.699804,136.00124,-20.576084,163.51659,15.560994,148.40141,-7.484297,92.40363,9.047989,115.51605,-0.42746055,115.81292,4.1471577,87.64187,-1.4849061,73.70436,2.074919,46.97968,-5.552418,43.59141,3.2406015,46.598484,-4.2802277,59.534546,-2.8812382,46.71175
0.3794471,0.09894759,0.087513365,0.0019655356,1592.175729975814,1113029.7257213376,1987.7362739637974,373394.14566053764,3173.911320612981,4905974.791689068,0.05852238581730769,0.0020784712260996803,1.7880806e-05,0.0045796535,-6.2324443e-06,0.002735348,161.4990234375,-242.78572,6754.9575,131.09468,1299.7188,2.636981,589.1452,21.82853,271.26804,14.56172,493.7684,20.588331,310.66357,-13.755004,319.52637,20.710953,127.0144,-14.804215,157.32863,15.98098,113.883804,-8.073209,132.35385,7.8715577,65.32652,-8.985906,74.030136,2.1470354,98.5172,-1.2374874,95.55567,3.1016066,87.28449,-2.3218005,56.989082,2.8530853,46.6588,2.4118094,64.19231,4.117964,59.951134
0.4135736,0.09358176,0.082484655,0.0021625888,1635.8166846464746,1123486.3220936419,2030.792213770518,350548.29212317,3367.047588641827,4981139.079137843,0.06241736778846154,0.003062773258728389,-1.3345143e-05,0.0043965816,-9.8717246e-05,0.0027292504,151.99908088235293,-242.03084,6809.1357,130.3458,1385.312,4.4204087,626.946,18.252531,328.4153,13.7331505,229.48112,24.350956,313.6223,-10.753356,218.03746,17.261316,124.46247,-14.729477,240.6759,17.129686,146.84613,-7.6349545,144.30936,9.475443,76.01618,-2.4009776,93.47243,2.0687943,81.30125,-2.878575,64.75927,0.5805273,80.62721,-3.8960726,60.359715,2.5836868,34.711823,1.5493952,43.509533,1.0575114,22.09491
0.4019185,0.09542238,0.0835164,0.001946679,1628.7152969267895,1121496.8579222693,1980.130464934512,407791.8158277617,3270.3138146033652,5203425.86297541,0.06517052283653846,0.002851083419732088,1.737362e-05,0.0039494713,-9.10371e-05,0.0026959304,161.4990234375,-234.95848,6103.599,131.8314,1576.1577,0.79874736,442.5942,16.119608,248.14998,10.952661,330.26312,23.310354,267.8838,-5.112417,242.00468,17.661724,169.94234,-13.726022,172.10255,16.588173,81.00425,-8.976877,147.80156,8.470343,87.016624,-3.956017,96.835724,2.1154268,100.27637,-1.0581623,72.30363,6.01724,77.59997,-3.8214278,78.730774,2.102594,71.96824,0.9247177,60.342304,-0.9210643,49.2068
0.39432278,0.09669612,0.08863192,0.0016052236,1624.2353369058683,752082.8986722103,1986.8916458363535,288366.7369870366,3298.0585186298076,3704521.4331628303,0.061185396634615384,0.0019589345130694687,8.421775e-05,0.004680617,2.4272185e-05,0.0026599301,161.4990234375,-202.95264,3595.1365,134.18353,1037.4176,-6.9187274,356.76382,17.8024,237.35426,5.188955,157.3211,19.936388,218.1508,-15.811016,271.77158,15.230306,162.92824,-16.599993,160.939,15.447074,146.28662,-7.3961945,162.4374,6.588748,96.387245,-0.2901541,78.00141,1.6440725,79.50243,-0.67248464,57.335243,5.280411,54.620644,-6.5769234,55.806694,4.1665745,54.816036,-0.94372696,47.678577,-4.651629,53.975376
